subject_label_original	subject_label	subject_type	subject_final_label	subject_final_curie	subject_missing_final	predicate_raw	biolink_predicate	association_category	object_label_original	object_label	object_type	object_final_label	object_final_curie	object_missing_final	report_id	pmid	link	outcome
Hydrocortisone	Hydrocortisone	Drug	Hydrocortisone	CHEBI:17650	N	applied_to_treat	biolink:applied_to_treat	biolink:ChemicalToDiseaseOrPhenotypicFeatureAssociation	Keratosis pillaris	Keratosis pillaris	PhenotypicFeature	Keratosis pillaris	HP:0032152	N	c93e5a54-6cb1-434d-a287-f863e6ad8c48	19804494	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/c93e5a54-6cb1-434d-a287-f863e6ad8c48	Patient’s condition was unchanged
Hydrocortisone	Hydrocortisone	Drug	Hydrocortisone	CHEBI:17650	N	applied_to_treat	biolink:applied_to_treat	biolink:ChemicalToDiseaseOrPhenotypicFeatureAssociation	Hyperkeratosis	Hyperkeratosis	PhenotypicFeature	Hyperkeratosis	HP:0000962	N	c93e5a54-6cb1-434d-a287-f863e6ad8c48	19804494	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/c93e5a54-6cb1-434d-a287-f863e6ad8c48	Patient’s condition was unchanged
Clobetasol	Clobetasol	Drug	Clobetasol	CHEBI:205919	N	applied_to_treat	biolink:applied_to_treat	biolink:ChemicalToDiseaseOrPhenotypicFeatureAssociation	CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	c93e5a54-6cb1-434d-a287-f863e6ad8c48	19804494	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/c93e5a54-6cb1-434d-a287-f863e6ad8c48	
Clobetasol	Clobetasol	Drug	Clobetasol	CHEBI:205919	N	applied_to_treat	biolink:applied_to_treat	biolink:ChemicalToDiseaseOrPhenotypicFeatureAssociation	Keratosis pillaris	Keratosis pillaris	PhenotypicFeature	Keratosis pillaris	HP:0032152	N	c93e5a54-6cb1-434d-a287-f863e6ad8c48	19804494	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/c93e5a54-6cb1-434d-a287-f863e6ad8c48	Patient’s condition was unchanged
Clobetasol	Clobetasol	Drug	Clobetasol	CHEBI:205919	N	applied_to_treat	biolink:applied_to_treat	biolink:ChemicalToDiseaseOrPhenotypicFeatureAssociation	Hyperkeratosis	Hyperkeratosis	PhenotypicFeature	Hyperkeratosis	HP:0000962	N	c93e5a54-6cb1-434d-a287-f863e6ad8c48	19804494	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/c93e5a54-6cb1-434d-a287-f863e6ad8c48	Patient’s condition was unchanged
Triamcinolone	Triamcinolone	Drug	Triamcinolone	CHEBI:9667	N	applied_to_treat	biolink:applied_to_treat	biolink:ChemicalToDiseaseOrPhenotypicFeatureAssociation	CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	c93e5a54-6cb1-434d-a287-f863e6ad8c48	19804494	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/c93e5a54-6cb1-434d-a287-f863e6ad8c48	
Triamcinolone	Triamcinolone	Drug	Triamcinolone	CHEBI:9667	N	applied_to_treat	biolink:applied_to_treat	biolink:ChemicalToDiseaseOrPhenotypicFeatureAssociation	Keratosis pillaris	Keratosis pillaris	PhenotypicFeature	Keratosis pillaris	HP:0032152	N	c93e5a54-6cb1-434d-a287-f863e6ad8c48	19804494	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/c93e5a54-6cb1-434d-a287-f863e6ad8c48	Patient’s condition was unchanged
Triamcinolone	Triamcinolone	Drug	Triamcinolone	CHEBI:9667	N	applied_to_treat	biolink:applied_to_treat	biolink:ChemicalToDiseaseOrPhenotypicFeatureAssociation	Hyperkeratosis	Hyperkeratosis	PhenotypicFeature	Hyperkeratosis	HP:0000962	N	c93e5a54-6cb1-434d-a287-f863e6ad8c48	19804494	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/c93e5a54-6cb1-434d-a287-f863e6ad8c48	Patient’s condition was unchanged
Mometasone Furoate	Mometasone Furoate	Drug	Mometasone	CHEBI:6970	N	applied_to_treat	biolink:applied_to_treat	biolink:ChemicalToDiseaseOrPhenotypicFeatureAssociation	CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	c93e5a54-6cb1-434d-a287-f863e6ad8c48	19804494	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/c93e5a54-6cb1-434d-a287-f863e6ad8c48	
Mometasone Furoate	Mometasone Furoate	Drug	Mometasone	CHEBI:6970	N	applied_to_treat	biolink:applied_to_treat	biolink:ChemicalToDiseaseOrPhenotypicFeatureAssociation	Keratosis pillaris	Keratosis pillaris	PhenotypicFeature	Keratosis pillaris	HP:0032152	N	c93e5a54-6cb1-434d-a287-f863e6ad8c48	19804494	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/c93e5a54-6cb1-434d-a287-f863e6ad8c48	Patient’s condition was unchanged
Mometasone Furoate	Mometasone Furoate	Drug	Mometasone	CHEBI:6970	N	applied_to_treat	biolink:applied_to_treat	biolink:ChemicalToDiseaseOrPhenotypicFeatureAssociation	Hyperkeratosis	Hyperkeratosis	PhenotypicFeature	Hyperkeratosis	HP:0000962	N	c93e5a54-6cb1-434d-a287-f863e6ad8c48	19804494	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/c93e5a54-6cb1-434d-a287-f863e6ad8c48	Patient’s condition was unchanged
Tacrolimus	Tacrolimus	Drug	Tacrolimus	CHEBI:61049	N	applied_to_treat	biolink:applied_to_treat	biolink:ChemicalToDiseaseOrPhenotypicFeatureAssociation	CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	c93e5a54-6cb1-434d-a287-f863e6ad8c48	19804494	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/c93e5a54-6cb1-434d-a287-f863e6ad8c48	
Tacrolimus	Tacrolimus	Drug	Tacrolimus	CHEBI:61049	N	applied_to_treat	biolink:applied_to_treat	biolink:ChemicalToDiseaseOrPhenotypicFeatureAssociation	Keratosis pillaris	Keratosis pillaris	PhenotypicFeature	Keratosis pillaris	HP:0032152	N	c93e5a54-6cb1-434d-a287-f863e6ad8c48	19804494	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/c93e5a54-6cb1-434d-a287-f863e6ad8c48	Patient’s condition was unchanged
Tacrolimus	Tacrolimus	Drug	Tacrolimus	CHEBI:61049	N	applied_to_treat	biolink:applied_to_treat	biolink:ChemicalToDiseaseOrPhenotypicFeatureAssociation	Hyperkeratosis	Hyperkeratosis	PhenotypicFeature	Hyperkeratosis	HP:0000962	N	c93e5a54-6cb1-434d-a287-f863e6ad8c48	19804494	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/c93e5a54-6cb1-434d-a287-f863e6ad8c48	Patient’s condition was unchanged
CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Hypertrophic cardiomyopathy (with symptoms)	Hypertrophic cardiomyopathy (with symptoms)	PhenotypicFeature	hypertrophic cardiomyopathy	MONDO:0005045	N	c93e5a54-6cb1-434d-a287-f863e6ad8c48	19804494	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/c93e5a54-6cb1-434d-a287-f863e6ad8c48	
CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Pulmonary valvular stenosis	Pulmonary valvular stenosis	PhenotypicFeature	Valvular pulmonary stenosis	HP:0034350	N	c93e5a54-6cb1-434d-a287-f863e6ad8c48	19804494	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/c93e5a54-6cb1-434d-a287-f863e6ad8c48	
CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Septal defect (Atrial or Ventricular)	Septal defect (Atrial or Ventricular)	PhenotypicFeature	Abnormal cardiac septum morphology	HP:0001671	N	c93e5a54-6cb1-434d-a287-f863e6ad8c48	19804494	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/c93e5a54-6cb1-434d-a287-f863e6ad8c48	
CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Developmental delays (gross motor, fine motor, speech)	Developmental delays (gross motor, fine motor, speech)	PhenotypicFeature	Global developmental delay	HP:0001263	N	c93e5a54-6cb1-434d-a287-f863e6ad8c48	19804494	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/c93e5a54-6cb1-434d-a287-f863e6ad8c48	
CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Hypotonia	Hypotonia	PhenotypicFeature	Hypotonia	HP:0001252	N	c93e5a54-6cb1-434d-a287-f863e6ad8c48	19804494	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/c93e5a54-6cb1-434d-a287-f863e6ad8c48	
CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Cortical atrophy	Cortical atrophy	PhenotypicFeature	Cerebral cortical atrophy	HP:0002120	N	c93e5a54-6cb1-434d-a287-f863e6ad8c48	19804494	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/c93e5a54-6cb1-434d-a287-f863e6ad8c48	
CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Bilateral ptosis	Bilateral ptosis	PhenotypicFeature	Bilateral ptosis	HP:0001488	N	c93e5a54-6cb1-434d-a287-f863e6ad8c48	19804494	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/c93e5a54-6cb1-434d-a287-f863e6ad8c48	
CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Atrophic right testicle	Atrophic right testicle	PhenotypicFeature	Decreased testicular size	HP:0008734	N	c93e5a54-6cb1-434d-a287-f863e6ad8c48	19804494	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/c93e5a54-6cb1-434d-a287-f863e6ad8c48	
CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Keratosis pillaris	Keratosis pillaris	PhenotypicFeature	Keratosis pillaris	HP:0032152	N	c93e5a54-6cb1-434d-a287-f863e6ad8c48	19804494	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/c93e5a54-6cb1-434d-a287-f863e6ad8c48	
CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Hyperkeratosis	Hyperkeratosis	PhenotypicFeature	Hyperkeratosis	HP:0000962	N	c93e5a54-6cb1-434d-a287-f863e6ad8c48	19804494	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/c93e5a54-6cb1-434d-a287-f863e6ad8c48	
CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Dysmorphic coarse facial features	Dysmorphic coarse facial features	PhenotypicFeature	Coarse facial features	HP:0000280	N	c93e5a54-6cb1-434d-a287-f863e6ad8c48	19804494	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/c93e5a54-6cb1-434d-a287-f863e6ad8c48	
CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Dysmorphic coarse facial features	Dysmorphic coarse facial features	PhenotypicFeature	Abnormal facial shape	HP:0001999	N	c93e5a54-6cb1-434d-a287-f863e6ad8c48	19804494	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/c93e5a54-6cb1-434d-a287-f863e6ad8c48	
CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Sparse scalp hair and no eyelashes, eyebrows, or body hair	Sparse scalp hair and no eyelashes, eyebrows, or body hair	PhenotypicFeature	Sparse scalp hair	HP:0002209	N	c93e5a54-6cb1-434d-a287-f863e6ad8c48	19804494	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/c93e5a54-6cb1-434d-a287-f863e6ad8c48	
CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Sparse scalp hair and no eyelashes, eyebrows, or body hair	Sparse scalp hair and no eyelashes, eyebrows, or body hair	PhenotypicFeature	Absent eyelashes	HP:0000561	N	c93e5a54-6cb1-434d-a287-f863e6ad8c48	19804494	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/c93e5a54-6cb1-434d-a287-f863e6ad8c48	
CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Sparse scalp hair and no eyelashes, eyebrows, or body hair	Sparse scalp hair and no eyelashes, eyebrows, or body hair	PhenotypicFeature	Absent eyebrow	HP:0002223	N	c93e5a54-6cb1-434d-a287-f863e6ad8c48	19804494	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/c93e5a54-6cb1-434d-a287-f863e6ad8c48	
CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Sparse scalp hair and no eyelashes, eyebrows, or body hair	Sparse scalp hair and no eyelashes, eyebrows, or body hair	PhenotypicFeature	Absent body hair	HP:0002230	N	c93e5a54-6cb1-434d-a287-f863e6ad8c48	19804494	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/c93e5a54-6cb1-434d-a287-f863e6ad8c48	
CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Bitemporal constriction	Bitemporal constriction	PhenotypicFeature	Narrowing of the forehead	HP:0011217	N	c93e5a54-6cb1-434d-a287-f863e6ad8c48	19804494	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/c93e5a54-6cb1-434d-a287-f863e6ad8c48	
CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Prominent philtrum	Prominent philtrum	PhenotypicFeature	Deep philtrum	HP:0002002	N	c93e5a54-6cb1-434d-a287-f863e6ad8c48	19804494	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/c93e5a54-6cb1-434d-a287-f863e6ad8c48	
CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Micrognathia	Micrognathia	PhenotypicFeature	Micrognathia	HP:0000347	N	c93e5a54-6cb1-434d-a287-f863e6ad8c48	19804494	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/c93e5a54-6cb1-434d-a287-f863e6ad8c48	
CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Posteriorly rotated ears	Posteriorly rotated ears	PhenotypicFeature	Posteriorly rotated ears	HP:0000358	N	c93e5a54-6cb1-434d-a287-f863e6ad8c48	19804494	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/c93e5a54-6cb1-434d-a287-f863e6ad8c48	
CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Hyperhidrosis	Hyperhidrosis	PhenotypicFeature	Hyperhidrosis	HP:0000975	N	c93e5a54-6cb1-434d-a287-f863e6ad8c48	19804494	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/c93e5a54-6cb1-434d-a287-f863e6ad8c48	
CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Heat intolerance of more severe skin lesions	Heat intolerance of more severe skin lesions	PhenotypicFeature	Heat intolerance	HP:0002046	N	c93e5a54-6cb1-434d-a287-f863e6ad8c48	19804494	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/c93e5a54-6cb1-434d-a287-f863e6ad8c48	
CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Histopathologic findings including eccrine squamous metaplasia	Histopathologic findings including eccrine squamous metaplasia	PhenotypicFeature	Squamous metaplasia	UMLS:C0025570	N	c93e5a54-6cb1-434d-a287-f863e6ad8c48	19804494	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/c93e5a54-6cb1-434d-a287-f863e6ad8c48	
CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Histopathologic findings including periadnexal granuloma	Histopathologic findings including periadnexal granuloma	PhenotypicFeature	Granulomatosis	HP:0002955	N	c93e5a54-6cb1-434d-a287-f863e6ad8c48	19804494	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/c93e5a54-6cb1-434d-a287-f863e6ad8c48	
BRAF	BRAF	Gene	BRAF	NCBIGene:673	N	gene_associated_with_condition	biolink:gene_associated_with_condition	biolink:GeneToDiseaseAssociation	CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	c93e5a54-6cb1-434d-a287-f863e6ad8c48	19804494	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/c93e5a54-6cb1-434d-a287-f863e6ad8c48	
Trametinib	Trametinib	Drug	Trametinib	CHEBI:75998	N	applied_to_treat	biolink:applied_to_treat	biolink:ChemicalToDiseaseOrPhenotypicFeatureAssociation	Noonan Syndrome	Noonan Syndrome	Disease	Noonan syndrome	MONDO:0018997	N	e8fbb1bd-43a9-4b29-8b4d-1fdc179574c7	34463117	https://cure.ncats.io/explore/noonan-syndrome/case-reports/case-details/e8fbb1bd-43a9-4b29-8b4d-1fdc179574c7	
Trametinib	Trametinib	Drug	Trametinib	CHEBI:75998	N	applied_to_treat	biolink:applied_to_treat	biolink:ChemicalToDiseaseOrPhenotypicFeatureAssociation	Ectopic and Multifocal Atrial Tachycardias	Ectopic and Multifocal Atrial Tachycardias	PhenotypicFeature	Ectopic atrial tachycardia	SNOMED:233892002	N	e8fbb1bd-43a9-4b29-8b4d-1fdc179574c7	34463117	https://cure.ncats.io/explore/noonan-syndrome/case-reports/case-details/e8fbb1bd-43a9-4b29-8b4d-1fdc179574c7	Patient fully recovered
Trametinib	Trametinib	Drug	Trametinib	CHEBI:75998	N	applied_to_treat	biolink:applied_to_treat	biolink:ChemicalToDiseaseOrPhenotypicFeatureAssociation	Ectopic and Multifocal Atrial Tachycardias	Ectopic and Multifocal Atrial Tachycardias	PhenotypicFeature	multifocal atrial tachycardia	MONDO:0017988	N	e8fbb1bd-43a9-4b29-8b4d-1fdc179574c7	34463117	https://cure.ncats.io/explore/noonan-syndrome/case-reports/case-details/e8fbb1bd-43a9-4b29-8b4d-1fdc179574c7	Patient fully recovered
Trametinib	Trametinib	Drug	Trametinib	CHEBI:75998	N	applied_to_treat	biolink:applied_to_treat	biolink:ChemicalToDiseaseOrPhenotypicFeatureAssociation	Biventricular Hypertrophy	Biventricular Hypertrophy	PhenotypicFeature	Biventricular hypertrophy	HP:0200128	N	e8fbb1bd-43a9-4b29-8b4d-1fdc179574c7	34463117	https://cure.ncats.io/explore/noonan-syndrome/case-reports/case-details/e8fbb1bd-43a9-4b29-8b4d-1fdc179574c7	Patient improved
Trametinib	Trametinib	Drug	Trametinib	CHEBI:75998	N	applied_to_treat	biolink:applied_to_treat	biolink:ChemicalToDiseaseOrPhenotypicFeatureAssociation	Atrial Ectopy	Atrial Ectopy	PhenotypicFeature	Atrial arrhythmia	HP:0001692	N	e8fbb1bd-43a9-4b29-8b4d-1fdc179574c7	34463117	https://cure.ncats.io/explore/noonan-syndrome/case-reports/case-details/e8fbb1bd-43a9-4b29-8b4d-1fdc179574c7	Patient improved
Trametinib	Trametinib	Drug	Trametinib	CHEBI:75998	N	has_adverse_events	biolink:has_adverse_event	biolink:ChemicalToDiseaseOrPhenotypicFeatureAssociation	Diarrhea	Diarrhea	AdverseEvent	Diarrhea	HP:0002014	N	e8fbb1bd-43a9-4b29-8b4d-1fdc179574c7	34463117	https://cure.ncats.io/explore/noonan-syndrome/case-reports/case-details/e8fbb1bd-43a9-4b29-8b4d-1fdc179574c7	Treatment was Discontinued due to the Adverse Event
Noonan Syndrome	Noonan Syndrome	Disease	Noonan syndrome	MONDO:0018997	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Hypertrophic cardiomyopathy (with symptoms)	Hypertrophic cardiomyopathy (with symptoms)	PhenotypicFeature	hypertrophic cardiomyopathy	MONDO:0005045	N	e8fbb1bd-43a9-4b29-8b4d-1fdc179574c7	34463117	https://cure.ncats.io/explore/noonan-syndrome/case-reports/case-details/e8fbb1bd-43a9-4b29-8b4d-1fdc179574c7	
Noonan Syndrome	Noonan Syndrome	Disease	Noonan syndrome	MONDO:0018997	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Pulmonary valvular stenosis	Pulmonary valvular stenosis	PhenotypicFeature	Valvular pulmonary stenosis	HP:0034350	N	e8fbb1bd-43a9-4b29-8b4d-1fdc179574c7	34463117	https://cure.ncats.io/explore/noonan-syndrome/case-reports/case-details/e8fbb1bd-43a9-4b29-8b4d-1fdc179574c7	
Noonan Syndrome	Noonan Syndrome	Disease	Noonan syndrome	MONDO:0018997	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Arrhythmia	Arrhythmia	PhenotypicFeature	Arrhythmia	MONDO:0007263	N	e8fbb1bd-43a9-4b29-8b4d-1fdc179574c7	34463117	https://cure.ncats.io/explore/noonan-syndrome/case-reports/case-details/e8fbb1bd-43a9-4b29-8b4d-1fdc179574c7	
Noonan Syndrome	Noonan Syndrome	Disease	Noonan syndrome	MONDO:0018997	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Septal defect (Atrial or Ventricular)	Septal defect (Atrial or Ventricular)	PhenotypicFeature	Abnormal cardiac septum morphology	HP:0001671	N	e8fbb1bd-43a9-4b29-8b4d-1fdc179574c7	34463117	https://cure.ncats.io/explore/noonan-syndrome/case-reports/case-details/e8fbb1bd-43a9-4b29-8b4d-1fdc179574c7	
Noonan Syndrome	Noonan Syndrome	Disease	Noonan syndrome	MONDO:0018997	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Chylothorax (not as a result of a post-operative complication)	Chylothorax (not as a result of a post-operative complication)	PhenotypicFeature	Chylothorax	HP:0010310	N	e8fbb1bd-43a9-4b29-8b4d-1fdc179574c7	34463117	https://cure.ncats.io/explore/noonan-syndrome/case-reports/case-details/e8fbb1bd-43a9-4b29-8b4d-1fdc179574c7	
Noonan Syndrome	Noonan Syndrome	Disease	Noonan syndrome	MONDO:0018997	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Ectopic and Multifocal Atrial Tachycardias	Ectopic and Multifocal Atrial Tachycardias	PhenotypicFeature	Ectopic atrial tachycardia	SNOMED:233892002	N	e8fbb1bd-43a9-4b29-8b4d-1fdc179574c7	34463117	https://cure.ncats.io/explore/noonan-syndrome/case-reports/case-details/e8fbb1bd-43a9-4b29-8b4d-1fdc179574c7	
Noonan Syndrome	Noonan Syndrome	Disease	Noonan syndrome	MONDO:0018997	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Ectopic and Multifocal Atrial Tachycardias	Ectopic and Multifocal Atrial Tachycardias	PhenotypicFeature	multifocal atrial tachycardia	MONDO:0017988	N	e8fbb1bd-43a9-4b29-8b4d-1fdc179574c7	34463117	https://cure.ncats.io/explore/noonan-syndrome/case-reports/case-details/e8fbb1bd-43a9-4b29-8b4d-1fdc179574c7	
Noonan Syndrome	Noonan Syndrome	Disease	Noonan syndrome	MONDO:0018997	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Congestive Heart Failure	Congestive Heart Failure	PhenotypicFeature	congestive heart failure	MONDO:0005009	N	e8fbb1bd-43a9-4b29-8b4d-1fdc179574c7	34463117	https://cure.ncats.io/explore/noonan-syndrome/case-reports/case-details/e8fbb1bd-43a9-4b29-8b4d-1fdc179574c7	
